CId,Mean,Median,P99,TMedian,TP99,Error,Count
22098,76709.52,1016.00,1537294.00,1015.90,1537408.40,0.01,3414.00
72,666.12,613.50,1129.00,613.50,1509.00,33.66,16.00
40784,737.79,619.50,5838.00,619.50,5838.60,0.01,90.00
40653,975.33,600.00,2676.50,600.00,2678.00,0.06,24.00
960,569.06,555.00,1430.50,555.00,1489.75,4.14,175.00
41714,549.75,649.50,701.00,649.50,703.00,0.29,4.00
70210,666.00,666.00,666.00,666.00,666.00,0.00,1.00
20116,754.64,685.00,1075.00,685.00,1092.00,1.58,11.00
328,692.50,727.50,743.00,727.50,744.00,0.13,6.00
40483,517.96,475.00,797.00,475.00,799.56,0.32,342.00
41054,716.29,608.00,2116.50,608.00,2279.27,7.69,207.00
904,686.78,678.00,737.50,678.00,793.00,7.53,9.00
323,655.80,521.00,870.00,521.00,1218.00,40.00,5.00
12201,690.50,690.50,690.50,690.50,740.00,7.17,2.00
10495,665.67,725.00,779.00,725.00,780.00,0.13,9.00
22982,466.80,396.00,586.00,396.00,628.00,7.17,5.00
22556,5587.53,720.00,183617.00,720.00,336217.72,83.11,301.00
12820,524.08,523.00,666.50,523.00,666.69,0.03,781.00
11751,627.01,600.00,999.50,600.00,1036.87,3.74,163.00
41424,567.31,561.00,718.00,561.00,727.78,1.36,129.00
20171,11917.97,541.00,57232.50,541.00,57232.60,0.00,390.00
40656,1283.86,772.00,5015.50,772.00,5016.05,0.01,95.00
22289,77099.54,621.50,994470.50,621.50,1011447.00,1.71,26.00
20791,9389.95,548.00,497388.50,548.00,498585.13,0.24,183.00
22422,63853.85,561.00,1464727.00,561.25,1466164.24,0.10,1379.00
21540,629.19,651.50,783.50,651.50,796.52,1.66,108.00
21097,48151.98,606.00,1222442.50,606.46,1222457.21,0.00,4301.00
39,613.73,582.00,1336.50,582.00,1336.88,0.03,262.00
11701,597.30,630.50,769.00,630.50,779.00,1.30,10.00
911,573.67,571.00,581.00,571.00,591.00,1.72,3.00
11940,5702.72,632.00,1714.50,632.00,1889.61,10.21,387.00
494,8782.58,749.00,138266.00,749.00,138974.88,0.51,514.00
12708,680.22,679.00,780.00,679.00,784.00,0.51,9.00
20983,595.00,594.50,596.00,594.50,597.00,0.17,4.00
286,576.65,555.00,985.00,555.00,1016.36,3.18,272.00
199,5517.08,858.00,241681.00,858.00,241681.90,0.00,585.00
324,620.91,584.00,1324.00,584.00,1354.40,2.30,81.00
443,63061.33,595.00,188022.00,595.00,374909.00,99.40,6.00
1137,894.54,800.50,1300.50,800.50,1344.36,3.37,114.00
13,602.00,602.00,602.00,602.00,602.00,0.00,1.00
11723,9477.20,3365.00,15970.50,3365.16,15970.70,0.00,5780.00
20402,14014.27,595.50,538494.50,595.50,543204.70,0.87,80.00
11933,633.00,633.00,633.00,633.00,633.00,0.00,1.00
12881,667.80,661.00,975.00,661.00,976.02,0.10,283.00
544,682.50,510.00,1129.50,510.00,1684.00,49.09,6.00
20194,29398.65,562.00,706799.50,562.00,1412598.00,99.86,49.00
773,730.61,710.00,1171.50,710.00,1303.48,11.27,526.00
11566,597.57,603.00,639.50,603.00,657.00,2.74,7.00
12945,639.60,654.00,989.50,654.00,1252.00,26.53,47.00
370,679.00,620.00,961.00,620.00,1242.00,29.24,10.00
41710,485.17,472.00,809.50,472.00,823.42,1.72,284.00
11040,599.47,603.00,640.00,603.00,654.00,2.19,15.00
12962,758.00,577.00,3671.50,577.00,6611.00,80.06,31.00
70094,569.83,561.00,1098.50,561.00,1121.34,2.08,211.00
40325,687.50,687.50,687.50,687.50,736.00,7.05,2.00
20588,119181.00,545.00,1542503.00,545.00,1568089.00,1.66,26.00
177,936.10,716.00,1595.50,716.00,1608.00,0.78,31.00
21014,1139.24,568.00,12725.50,568.00,12725.62,0.00,1188.00
20655,109822.64,696.00,1513109.50,695.71,1513114.85,0.00,11280.00
